Taxon - Genus,Taxon - Species,CatNum,Locality Name,Field Coll Latitude from,Field Coll Longitude from,Field Coll Altitude from,Field Coll Date,Sex,Field Coll Habitat,Field Coll Specimen Category
Melomys,cervinipes,J9016,"Munro Camp, Bunya Mtns",26° 54' South,151° 38' East,,,Female,,Spirit
Melomys,cervinipes,J9017,"Munro Camp, Bunya Mtns",26° 54' South,151° 38' East,,,Male,,Spirit
Melomys,cervinipes,J9018,"Munro Camp, Bunya Mtns",26° 54' South,151° 38' East,,,Male,,Spirit
Melomys,cervinipes,J9207,"Munro Camp, Bunya Mtns",26° 54' South,151° 38' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J9305,"Walsh Camp, nr Herberton","17° 20' 1"" South","145° 25' 12"" East",,,Male,,"Skull, Skin"
Melomys,cervinipes,J9306,"Walsh Camp, nr Herberton","17° 20' 1"" South","145° 25' 12"" East",,,Male,,"Skull, Skin"
Melomys,cervinipes,J9394,"Walsh Camp, 11km SW Atherton",17° 20' South,145° 25' East,,,Male,,Skin
Melomys,cervinipes,J9395,"Euramoo Ck, Danbulla, NE Atherton",17° 10' South,145° 38' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J9396,"Walsh Camp, 11km SW Atherton",17° 20' South,145° 25' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J9479,"Browns Ck, trib of Pascoe R",12° 46' South,143° 6' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J9480,"Browns Ck, trib of Pascoe R",12° 46' South,143° 6' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J9481,"Mt Finnigan, 48km S Cooktown, west slope",15° 49' South,145° 17' East,792.5m,,Male,,"Skull, Skin"
Melomys,cervinipes,J9701,Yarraman,26° 51' South,151° 59' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J9702,Yarraman,26° 51' South,151° 59' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J9703,Yarraman,26° 51' South,151° 59' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J9712,Imbil,26° 28' South,152° 41' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J9787,Yarraman,26° 51' South,151° 59' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J9998,"Mt Etna, 24km N Rockhampton",23° 10' South,150° 27' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J9999,"Mt Etna, 24km N Rockhampton",23° 10' South,150° 27' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10000,"Mt Etna, 24km N Rockhampton",23° 10' South,150° 27' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J10001,"Mt Etna, 24km N Rockhampton",23° 10' South,150° 27' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10002,"Mt Etna, 24km N Rockhampton",23° 10' South,150° 27' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J10003,"Mt Etna, 24km N Rockhampton",23° 10' South,150° 27' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J10037,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J10038,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10039,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J10040,"Broken R, Eungella Ra",20° 54' South,148° 17' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J10041,"Broken R, Eungella Ra",21° 10' South,148° 30' East,,11-Aug-58,Female,,"Skull, Skin"
Melomys,cervinipes,J10042,"Broken R, Eungella Ra",21° 10' South,148° 30' East,,11-Aug-58,Female,,"Skull, Skin"
Melomys,cervinipes,J10043,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10044,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J10045,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J10046,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10047,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J10048,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J10049,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10050,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10051,"Broken R, Eungella Ra",21° 10' South,148° 31' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10164,Mt Spec,18° 57' South,146° 11' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10166,"Mossman, 6km N",16° 24' South,145° 23' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10167,Mossman,16° 28' South,145° 23' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10292,"Beechmont, 16km E",28° 8' South,153° 22' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J10881,Mt Glorious,27° 20' South,152° 46' East,,,Male,,Spirit
Melomys,cervinipes,J11063,"Many Peaks Ra, 24km SW Miriam Vale",24° 18' South,151° 25' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J11180,Mt Glorious,27° 20' South,152° 46' East,,,Female,,Spirit
Melomys,cervinipes,J11262,"Forest Stn, Fraser Is",25° 28' South,153° 3' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J11274,Mt Glorious,27° 20' South,152° 46' East,,,Female,,Spirit
Melomys,cervinipes,J12258,Mt Tamborine,27° 55' South,153° 10' East,,23-Jan-64,Female,,"Skull, Skin"
Melomys,cervinipes,J12632,West Burleigh,28° 6' South,153° 26' East,,14-May-64,,,Skull
Melomys,cervinipes,J13173,West Burleigh,28° 6' South,153° 26' East,,3-Aug-64,,,Skull
Melomys,cervinipes,J13174,West Burleigh,28° 6' South,153° 26' East,,3-Aug-64,,,Skull
Melomys,cervinipes,J13175,West Burleigh,28° 6' South,153° 26' East,,3-Aug-64,,,Skull
Melomys,cervinipes,J13179,West Burleigh,28° 6' South,153° 26' East,,3-Aug-64,,,Skull
Melomys,cervinipes,J13180,West Burleigh,28° 6' South,153° 26' East,,3-Aug-64,,,Skull
Melomys,cervinipes,J13623,Lamington NP,28° 19' South,153° 5' East,,11-Mar-66,,,Skull
Melomys,cervinipes,J14843,Gallangowan,26° 26' South,152° 20' East,,7-Jul-67,Female,,"Skull, Skin"
Melomys,cervinipes,J14847,Biggenden area,25° 31' South,152° 3' East,,23-Sep-61,Female,,Spirit
Melomys,cervinipes,J15837,Bulburin SF,24° 32' South,151° 23' East,,4-Sep-68,,,"Skull, Skin"
Melomys,cervinipes,J15838,Bulburin SF,24° 32' South,151° 23' East,,5-Sep-68,,,"Skull, Skin"
Melomys,cervinipes,J15839,Bulburin SF,24° 32' South,151° 23' East,609.6m,1-Sep-68,Male,,"Skull, Skin"
Melomys,cervinipes,J15840,Bulburin SF,24° 32' South,151° 23' East,,4-Sep-68,Male,,"Skull, Skin"
Melomys,cervinipes,J15841,Bulburin SF,24° 32' South,151° 23' East,609.6m,1-Sep-68,Male,,"Skull, Skin"
Melomys,cervinipes,J15842,Bulburin SF,24° 32' South,151° 23' East,609.6m,1-Sep-68,Male,,"Skull, Skin"
Melomys,cervinipes,J15843,Bulburin SF,24° 32' South,151° 23' East,609.6m,1-Sep-68,Male,,"Skull, Skin"
Melomys,cervinipes,J15844,Bulburin SF,24° 32' South,151° 23' East,609.6m,1-Sep-68,Male,,"Skull, Skin"
Melomys,cervinipes,J15845,"Woondum SF, nr Gympie",26° 15' South,152° 44' East,,28-Aug-68,Female,,"Skull, Skin"
Melomys,cervinipes,J15847,"Woondum SF, nr Gympie",26° 15' South,152° 44' East,,28-Aug-68,Female,,"Skull, Skin"
Melomys,cervinipes,J15848,Bulburin SF,24° 32' South,151° 23' East,609.6m,1-Sep-68,Female,,"Skull, Skin"
Melomys,cervinipes,J15849,Bulburin SF,24° 32' South,151° 23' East,609.6m,1-Sep-68,Male,,"Skull, Skin"
Melomys,cervinipes,J15851,Bulburin SF,24° 32' South,151° 23' East,609.6m,4-Sep-68,Male,,"Skull, Skin"
Melomys,cervinipes,J15852,"Woondum, 24km SE Gympie",26° 15' South,152° 44' East,,28-Aug-68,Male,,"Skull, Skin"
Melomys,cervinipes,J15853,Bulburin SF,24° 32' South,151° 23' East,,4-Sep-68,Male,,"Skull, Skin"
Melomys,cervinipes,J15855,Bulburin SF,24° 32' South,151° 23' East,,5-Sep-68,,,"Skull, Skin"
Melomys,cervinipes,J15858,Bulburin SF,24° 32' South,151° 23' East,609.6m,1-Sep-68,Female,,"Skull, Skin"
Melomys,cervinipes,J15861,Bulburin SF,24° 32' South,151° 23' East,609.6m,1-Sep-68,Female,,"Skull, Skin"
Melomys,cervinipes,J15866,Bulburin SF,24° 32' South,151° 23' East,609.6m,1-Sep-68,Male,,"Skull, Skin"
Melomys,cervinipes,J16139,Bulburin SF,24° 32' South,151° 23' East,,5-Nov-68,,,"Skull, Skin"
Melomys,cervinipes,J16140,Bulburin SF,24° 32' South,151° 23' East,,1-Jul-68,,,"Skull, Skin"
Melomys,cervinipes,J16162,Mt Glorious,27° 20' South,152° 46' East,,25-Jun-68,Male,,"Skull, Skin"
Melomys,cervinipes,J16170,"Elginvale, via Goomeri, SFR154",26° 27' South,152° 12' East,,1-Aug-68,Male,,"Skull, Skin"
Melomys,cervinipes,J16461,Mt Glorious,27° 20' South,152° 46' East,,25-Jun-68,Female,,"Skull, Skin"
Melomys,cervinipes,J16536,Mt Glorious,27° 20' South,152° 46' East,,14-Jun-68,Male,,"Skull, Skin"
Melomys,cervinipes,J16537,Mt Glorious,27° 20' South,152° 46' East,,25-Jun-68,Male,,"Skull, Skin"
Melomys,cervinipes,J16547,Mt Glorious,27° 20' South,152° 46' East,,25-Jun-68,Female,,"Skull, Skin"
Melomys,cervinipes,J16761,Mt Glorious,27° 20' South,152° 46' East,,15-Jun-68,Male,,"Skull, Skin"
Melomys,cervinipes,J16762,Mt Glorious,27° 20' South,152° 46' East,,15-Jun-68,Male,,"Skull, Skin"
Melomys,cervinipes,J17416,Elginvale SF,26° 27' South,152° 12' East,,27-Jun-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17417,Elginvale SF,26° 27' South,152° 12' East,,27-Jun-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17418,Elginvale SF,26° 27' South,152° 12' East,,27-Jun-69,Female,,"Skull, Skin"
Melomys,cervinipes,J17419,Warwick District,28° 13' South,152° 2' East,,27-Jun-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17420,Imbil SF,26° 28' South,152° 41' East,,28-Aug-68,,,"Skull, Skin"
Melomys,cervinipes,J17527,"Cooktown, 19km from, on McIvor R Road",15° 26' South,145° 5' East,,21-Aug-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17544,Warwick District,28° 13' South,152° 2' East,,7-Aug-69,Female,,"Skull, Skin"
Melomys,cervinipes,J17681,Warwick,28° 13' South,152° 2' East,,16-Jul-69,,,"Skull, Skin"
Melomys,cervinipes,J17687,"Kibona, Julatten",16° 36' South,145° 20' East,,16-Aug-69,Female,,"Skull, Skin"
Melomys,cervinipes,J17688,"Julatten, Kibona",16° 36' South,145° 20' East,,16-Aug-69,Female,,"Skull, Skin"
Melomys,cervinipes,J17784,"Mt Molloy, 3km N",16° 39' South,145° 19' East,,Oct-69,Female,,Spirit
Melomys,cervinipes,J17961,Hinchinbrook Is,18° 22' South,146° 15' East,,25-Sep-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17962,"Gooroomjan, Elginvale",26° 27' South,152° 12' East,,26-Sep-69,Female,,"Skull, Skin"
Melomys,cervinipes,J17963,"Gooroomjan, Elginvale",26° 27' South,152° 12' East,,26-Sep-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17964,"Gooroomjan, Elginvale",26° 27' South,152° 12' East,,29-Aug-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17965,"Paluma Dam, Mt Spec, via Townsville",18° 57' South,146° 9' East,,31-Jul-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17966,Elginvale,26° 27' South,152° 12' East,,10-Aug-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17967,Warwick District,28° 13' South,152° 2' East,,5-Sep-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17968,Elginvale,26° 27' South,152° 12' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J17969,Dunk Is,17° 57' South,146° 9' East,,,,,Skin
Melomys,cervinipes,J17970,Dunk Is,17° 57' South,146° 9' East,,,,,Skin
Melomys,cervinipes,J17971,Warwick District,28° 13' South,152° 2' East,,8-Sep-67,Male,,"Skull, Skin"
Melomys,cervinipes,J17972,Warwick District,28° 13' South,152° 2' East,,8-Sep-67,Male,,"Skull, Skin"
Melomys,cervinipes,J17973,Warwick District,28° 13' South,152° 2' East,,8-Sep-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17974,Warwick,28° 13' South,152° 2' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J17975,"Gooroomjan, Elginvale",26° 27' South,152° 12' East,,29-Aug-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17976,Warwick District,28° 13' South,152° 2' East,,,Male,,"Skull, Skin"
Melomys,cervinipes,J17977,Hinchinbrook Is,18° 22' South,146° 15' East,,26-Sep-69,Male,,"Skull, Skin"
Melomys,cervinipes,J17978,Gallangowan SF,26° 26' South,152° 20' East,,27-Aug-69,Female,,"Skull, Skin"
Melomys,cervinipes,J17979,Warwick District,28° 13' South,152° 2' East,,8-Sep-67,Male,,"Skull, Skin"
Melomys,cervinipes,J17980,Warwick District,28° 13' South,152° 2' East,,8-Sep-67,Female,,"Skull, Skin"
Melomys,cervinipes,J17981,Warwick District,28° 13' South,152° 2' East,,,Female,,"Skull, Skin"
Melomys,cervinipes,J19107,"Paluma Dam, nr Townsville",18° 57' South,146° 9' East,,1-Aug-69,Male,,"Skull, Skin"
Melomys,cervinipes,J19148,Buderim,26° 41' South,153° 3' East,,21-Jul-69,Female,,"Skull, Skin"
Melomys,cervinipes,J19310,"Gooroomjan, Elginvale",26° 27' South,152° 12' East,,29-Aug-69,Male,,"Skull, Skin"
Melomys,cervinipes,J19788,Somerset,10° 45' South,142° 35' East,,,,,Spirit
Melomys,cervinipes,J19789,Somerset,10° 45' South,142° 35' East,,,,,Spirit
Melomys,cervinipes,J19790,Somerset,10° 45' South,142° 35' East,,,,,Spirit
Melomys,cervinipes,J20004,Bloomfield R,15° 58' South,145° 19' East,,26-Sep-69,Female,,"Skull, Skin"
Melomys,cervinipes,J20007,"Tabletop, Shiptons Flat",15° 48' South,145° 15' East,,30-Sep-69,Female,,"Skull, Skin"
Melomys,cervinipes,J20008,"Tabletop, Shiptons Flat",15° 48' South,145° 15' East,,30-Sep-69,Male,,"Skull, Skin"
Melomys,cervinipes,J20009,Shiptons Flat,15° 48' South,145° 16' East,,30-Sep-69,Female,,"Skull, Skin"
Melomys,cervinipes,J20011,"Tabletop, Shiptons Flat",15° 48' South,145° 15' East,,30-Sep-69,Male,,"Skull, Skin"
Melomys,cervinipes,J20022,"Cooktown, Endeavour R",15° 29' South,145° 15' East,,3-Sep-69,Female,,"Skull, Skin"
Melomys,cervinipes,J20063,"Walsh Camp, nr Atherton",17° 19' South,145° 25' East,1036m,4-Aug-56,Male,,Spirit
Melomys,cervinipes,J20073,Gallangowan,26° 26' South,152° 20' East,,1-Aug-55,Female,,Spirit
Melomys,cervinipes,J20074,Gallangowan,26° 26' South,152° 20' East,,1-Aug-55,Male,,Spirit
Melomys,cervinipes,J20075,Gallangowan,26° 26' South,152° 20' East,,1-Aug-55,Female,,Spirit
Melomys,cervinipes,J20076,Gallangowan,26° 26' South,152° 20' East,,1-Aug-55,Male,,Spirit
Melomys,cervinipes,J20089,"Ravenshoe, 12.9km NE",17° 34' South,145° 34' East,,14-Jan-51,Male,,Spirit
Melomys,cervinipes,J20090,"Ravenshoe, 12.9km NE",17° 34' South,145° 34' East,,14-Jan-51,Female,,Spirit
Melomys,cervinipes,J20118,"Walsh Camp, 11.2km S Atherton",17° 20' South,145° 25' East,,9-Aug-56,Male,,Spirit
Melomys,cervinipes,J20126,Eungella Ra,20° 55' South,148° 30' East,,Aug-56,Male,,Spirit
Melomys,cervinipes,J20127,"Broken R, Eungella Ra",21° 10' South,148° 30' East,,11-Aug-58,Female,,Spirit
Melomys,cervinipes,J20128,"Broken R, Eungella Ra",21° 10' South,148° 30' East,,10-Aug-58,Male,,Spirit
Melomys,cervinipes,J20129,"Broken R, Eungella Ra",21° 10' South,148° 30' East,,10-Aug-58,Female,,Spirit
Melomys,cervinipes,J20130,"Broken R, Eungella Ra",21° 10' South,148° 30' East,,12-Aug-58,Male,,Spirit
Melomys,cervinipes,J20131,"Broken R, Eungella Ra",21° 10' South,148° 30' East,,10-Aug-58,Male,,Spirit
Melomys,cervinipes,J20183,Mackay,21° 9' South,149° 11' East,,20-Dec-55,,,Spirit
Melomys,cervinipes,J20322,"Woondum SF, 24km SE Gympie",26° 15' South,152° 44' East,,28-Aug-68,,,Skull
Melomys,cervinipes,J20337,Dunk Is,17° 57' South,146° 9' East,,21-Sep-70,Male,,"Skull, Skin"
Melomys,cervinipes,J20338,Dunk Is,17° 57' South,146° 9' East,,21-Sep-70,Male,,"Skull, Skin"
Melomys,cervinipes,J20344,"Townsville, 32.2km S",19° 35' South,146° 48' East,,01 Aug 1970-31 Aug 1970,Male,,"Skull, Skin"
Melomys,cervinipes,J20349,"Cassowary Ck, Mossman",16° 28' South,145° 23' East,,Sep-70,Male,,"Skull, Skin"
Melomys,cervinipes,J20350,"Cassowary Ck, Mossman",16° 28' South,145° 23' East,,01 Sep 1970-30 Sep 1970,,,"Spirit, Skull, Skin"
Melomys,cervinipes,J20351,"Cassowary Ck, Mossman",16° 28' South,145° 23' East,,Sep-70,Male,,"Skull, Skin"
Melomys,cervinipes,J20352,Atherton,17° 16' South,145° 28' East,,01 Aug 1970-31 Aug 1970,Female,,"Skull, Skin"
Melomys,cervinipes,J21249,"Bathurst Bay, bed of unnamed Ck",14° 13' South,144° 22' East,,29-Nov-70,Male,,"Skull, Skin"
Melomys,cervinipes,J21279,Nth Stradbroke Is,27° 36' South,153° 27' East,,20-Jan-71,Female,,"Skull, Skin"
Melomys,cervinipes,J21300,Daintree R,16° 17' South,145° 27' East,,25-Sep-69,Female,,Spirit
Melomys,cervinipes,J21302,Hinchinbrook Is,18° 22' South,146° 15' East,,16-Aug-70,,,"Spirit, Skull"
Melomys,cervinipes,J21303,Hinchinbrook Is,18° 22' South,146° 15' East,,16-Aug-70,Male,,"Spirit, Skull"
Melomys,cervinipes,J21304,Hinchinbrook Is,18° 22' South,146° 15' East,,16-Aug-70,Male,,"Spirit, Skull"
Melomys,cervinipes,J21305,"Christmas Ck, Mossman",16° 26' South,145° 16' East,,7-Sep-70,Male,,"Spirit, Skull"
Melomys,cervinipes,J21306,Hinchinbrook Is,18° 22' South,146° 15' East,,16-Aug-70,Male,,"Spirit, Skull"
Melomys,cervinipes,J21307,"Tabletop, Mt Finnegan",15° 48' South,145° 15' East,,11-Jun-71,Male,,"Spirit, Skull"
Melomys,cervinipes,J21308,"Tabletop, Mt Finnegan",15° 48' South,145° 15' East,,11-Jun-71,Male,,"Spirit, Skull"
Melomys,cervinipes,J21340,Ravensbourne,27° 22' South,152° 10' East,,4-Jul-71,Male,,"Spirit, Skull"
Melomys,cervinipes,J21341,Ravensbourne,27° 22' South,152° 10' East,,4-Jul-71,Female,,"Spirit, Skull"
Melomys,cervinipes,J21806,"Mt Finnigan, Shiptons Flat, 48.2km S Cooktown",15° 48' South,145° 15' East,,11-Jun-71,,,"Spirit, Skull"
Melomys,cervinipes,J21852,Mt Glorious,27° 20' South,152° 46' East,,1-Apr-69,Male,,"Spirit, Skull"
Melomys,cervinipes,J21870,Hinchinbrook Is,18° 22' South,146° 15' East,,16-Aug-70,Female,,"Spirit, Skull"
Melomys,cervinipes,J21872,Hinchinbrook Is,18° 22' South,146° 15' East,,16-Aug-70,Female,,"Spirit, Skull"
Melomys,cervinipes,J22042,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,01 Jan 1972-07 Jan 1972,,,"Spirit, Skull, Skin"
Melomys,cervinipes,J22043,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,01 Jan 1972-07 Jan 1972,,,"Spirit, Skull, Skin"
Melomys,cervinipes,J22044,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,01 Jan 1972-07 Jan 1972,Male,,Spirit
Melomys,cervinipes,J22045,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,01 Jan 1972-07 Jan 1972,Female,,Spirit
Melomys,cervinipes,J22078,Fraser Is,25° 28' South,153° 3' East,,19-May-71,Female,,"Skull, Skin"
Melomys,cervinipes,J22092,Fraser Is,25° 28' South,153° 3' East,,May-71,Female,,"Skull, Skin"
Melomys,cervinipes,J22094,Fraser Is,25° 28' South,153° 3' East,,19-May-71,Male,,"Skull, Skin"
Melomys,cervinipes,J22096,Fraser Is,25° 28' South,153° 3' East,,19-May-71,Male,,"Skull, Skin"
Melomys,cervinipes,J22102,"Farm Ck, Mt Colliery",28° 17' South,152° 9' East,,5-Jul-71,Female,,"Skull, Skin"
Melomys,cervinipes,J22134,Fraser Is,25° 28' South,153° 3' East,,19-May-71,Female,,Skull
Melomys,cervinipes,J22138,"Nth Stradbroke Is, Fishermans Rd",27° 36' South,153° 27' East,,19-Jan-71,,,Skull
Melomys,cervinipes,J22152,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Male,,"Spirit, Skull"
Melomys,cervinipes,J22153,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Male,,"Spirit, Skull"
Melomys,cervinipes,J22154,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Female,,"Spirit, Skull"
Melomys,cervinipes,J22155,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Female,,"Spirit, Skull"
Melomys,cervinipes,J22156,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Female,,"Spirit, Skull"
Melomys,cervinipes,J22157,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Female,,"Spirit, Skull"
Melomys,cervinipes,J22158,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Female,,"Spirit, Skull"
Melomys,cervinipes,J22159,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Female,,"Spirit, Skull"
Melomys,cervinipes,J22161,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Male,,"Spirit, Skull"
Melomys,cervinipes,J22167,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Female,,"Spirit, Skull"
Melomys,cervinipes,J22168,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,18-Jan-72,Male,,"Spirit, Skull"
Melomys,cervinipes,J22169,,,,,,,,"Spirit, Skull"
Melomys,cervinipes,J22198,Mt Glorious,27° 20' South,152° 46' East,,29-Apr-69,,,"Skull, Skin"
Melomys,cervinipes,J22532,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,01 Jul 1972-31 Jul 1972,Male,,"Skull, Skin"
Melomys,cervinipes,J22537,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,01 Jul 1972-31 Jul 1972,Female,,"Skull, Skin"
Melomys,cervinipes,J22560,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,22-Oct-72,Male,,"Skull, Skin"
Melomys,cervinipes,J22561,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,22-Oct-72,Male,,"Skull, Skin"
Melomys,cervinipes,J22563,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,22-Oct-72,Female,,"Skull, Skin"
Melomys,cervinipes,J22565,"Nth Stradbroke Is, 18 Mile Swamp",27° 36' South,153° 28' East,,22-Oct-72,Female,,"Skull, Skin"
Melomys,cervinipes,J22569,,,,,,,,"Skull, Skin"
Melomys,cervinipes,J22576,"Hinchinbrook Passage, mainland",18° 24' South,146° 12' East,,28-Mar-72,Female,,Spirit
Melomys,cervinipes,J22588,"Brisbane, Brookfield, Gold Ck Rd",27° 30' South,152° 55' East,,15-Apr-72,Male,,"Skull, Skin"
Melomys,cervinipes,J22592,Nth Stradbroke Is,27° 36' South,153° 27' East,,01 Jul 1972-31 Jul 1972,,,"Skull, Skin"
Melomys,cervinipes,J22610,"Dunwich, 8km from, Nth Stradbroke Is","27° 26' 10"" South","153° 30' 12"" East",,01 Jul 1972-31 Jul 1972,Female,,"Skull, Skin"
Melomys,cervinipes,J22875,"Dunwich, 8km from, Nth Stradbroke Is","27° 26' 10"" South","153° 30' 12"" East",,Jul-72,Female,,"Skull, Skin"
Melomys,cervinipes,J23017,"McDonnell, nr, upper Cape York, heathlands",11° 39' South,142° 28' East,,Sep-72,Female,,Spirit
Melomys,cervinipes,J23695,Mt Glorious,27° 20' South,152° 46' East,,13-Oct-73,Male,,Spirit
Melomys,cervinipes,JM217,Mt Glorious (probably),,,,29-Jul-69,Male,,Spirit
Melomys,cervinipes,JM225,"Innisfail, Cooroo lands",17° 31' South,145° 53' East,,6-Nov-66,Male,,Spirit
Melomys,cervinipes,JM226,Innisfail Common,17° 32' South,146° 1' East,,8-Nov-66,Female,,Spirit
Melomys,cervinipes,JM229,Mt Glorious,27° 20' South,152° 46' East,,,Female,,Spirit
Melomys,cervinipes,JM230,Mt Glorious,27° 20' South,152° 46' East,,,Female,,Spirit
Melomys,cervinipes,JM231,Mt Glorious (probably),,,,Mar-64,,,Spirit
Melomys,cervinipes,JM232,Mt Glorious,27° 20' South,152° 46' East,,17-Oct-63,,,Spirit
Melomys,cervinipes,JM233,Mt Glorious,27° 20' South,152° 46' East,,17-Oct-63,,,Spirit
Melomys,cervinipes,JM234,Mt Glorious,27° 20' South,152° 46' East,,17-Oct-63,,,Spirit
Melomys,cervinipes,JM235,Mt Glorious,27° 20' South,152° 46' East,,17-Oct-63,,,Spirit
Melomys,cervinipes,JM237,Mt Glorious (probably),,,,3-Aug-06,Male,,Spirit
Melomys,cervinipes,JM239,Mt Glorious,27° 20' South,152° 46' East,,29-Jun-71,Female,,Spirit
Melomys,cervinipes,JM246,Cunninghams Gap E,28° 3' South,152° 24' East,,,Male,,Spirit
Melomys,cervinipes,JM391,,,,,,Female,,Spirit
Melomys,cervinipes,JM393,,,,,,Female,,Spirit
Melomys,cervinipes,JM394,,,,,8-May-73,Male,,Spirit
Melomys,cervinipes,JM401,,,,,21-Nov-73,Male,,Spirit
Melomys,cervinipes,JM507,,,,,,Male,,"Skull, Skin"
Melomys,cervinipes,JM675,"Kilcoy NE, SF no.832?",26° 57' South,152° 34' East,,,Male,,Spirit
Melomys,cervinipes,JM694,"Home Rule Camp, 32km S Cooktown",15° 45' South,145° 17' East,,23-Oct-74,,,Spirit
Melomys,cervinipes,JM765,Bauple,25° 49' South,152° 37' East,,19-May-75,,,Spirit
